algorithm,size,time,cpu_percent,memory_percent,path_length
PRM,10,0.027742862701416016,95.0,69.8,22
BFS_checker,10,0.0006549358367919922,87.7,69.8,19
PRM,10,0.014374971389770508,86.7,69.8,22
Astar,10,0.00034499168395996094,86.9,69.8,19
Astar,10,0.0007691383361816406,89.6,70.0,19
BFS_checker,10,0.001332998275756836,89.3,70.0,19
PRM,10,0.0687248706817627,89.5,70.0,22
BFS_checker,10,0.0011997222900390625,85.2,72.3,19
Astar,10,0.0006251335144042969,85.0,72.3,19
PRM,10,0.019618988037109375,84.5,72.3,23
Astar,10,0.0005900859832763672,89.4,72.3,19
BFS_checker,10,0.0011739730834960938,89.3,72.3,19
PRM,10,0.030271053314208984,88.6,72.3,22
BFS_checker,10,0.0012390613555908203,95.5,72.4,19
Astar,10,0.0007269382476806641,95.5,72.4,19
PRM,10,0.021782875061035156,95.1,72.3,22
Astar,10,0.0004668235778808594,85.7,72.1,19
BFS_checker,10,0.0014393329620361328,90.0,72.1,19
PRM,10,0.016803979873657227,0.0,72.1,22
Astar,10,0.0005240440368652344,92.5,71.3,19
BFS_checker,10,0.0014319419860839844,92.5,71.3,19
PRM,10,0.029162883758544922,92.5,71.3,22
BFS_checker,10,0.0007719993591308594,85.7,71.5,19
Astar,10,0.0004229545593261719,100.0,71.5,19
PRM,10,0.014915943145751953,0.0,71.5,22
BFS_checker,10,0.0013880729675292969,93.6,71.0,19
Astar,10,0.0005948543548583984,94.7,71.0,19
PRM,10,0.021038055419921875,93.8,71.0,22
BFS_checker,10,0.0009059906005859375,94.2,71.0,19
Astar,10,0.0005061626434326172,94.2,71.0,19
PRM,10,0.017012834548950195,94.7,71.0,22
BFS_checker,10,0.0009720325469970703,95.3,71.0,19
Astar,10,0.0005090236663818359,95.3,71.0,19
PRM,10,0.017506122589111328,95.3,71.0,22
BFS_checker,10,0.000614166259765625,96.0,70.9,19
Astar,10,0.0003192424774169922,95.5,70.9,19
PRM,10,0.01697707176208496,95.5,70.9,22
BFS_checker,10,0.005722999572753906,100.0,71.0,19
Astar,10,0.0007648468017578125,0.0,71.0,19
PRM,10,0.025993824005126953,100.0,71.0,23
BFS_checker,10,0.0011708736419677734,94.9,71.0,19
Astar,10,0.0007009506225585938,94.8,71.0,19
PRM,10,0.027669906616210938,94.0,71.0,22
BFS_checker,10,0.001377105712890625,95.6,71.0,19
Astar,10,0.00045013427734375,96.2,71.0,19
PRM,10,0.023530006408691406,95.1,71.0,22
BFS_checker,10,0.0011701583862304688,94.4,71.0,19
Astar,10,0.0006818771362304688,94.1,71.0,19
PRM,10,0.01986098289489746,93.7,70.9,22
BFS_checker,10,0.000701904296875,95.4,71.0,19
Astar,10,0.00034618377685546875,94.9,71.0,19
PRM,10,0.010965347290039062,94.4,71.0,22
Astar,10,0.0007297992706298828,94.8,71.0,19
BFS_checker,10,0.0013461112976074219,94.4,71.0,19
PRM,10,0.027585744857788086,93.4,71.0,22
Astar,10,0.0005447864532470703,94.4,71.0,19
BFS_checker,10,0.0009028911590576172,94.4,71.0,19
PRM,10,0.015466928482055664,95.4,71.0,22
Astar,10,0.0005612373352050781,94.8,71.0,19
BFS_checker,10,0.0011050701141357422,95.4,71.0,19
PRM,10,0.01697516441345215,95.4,71.0,22
BFS_checker,10,0.0012340545654296875,96.1,70.8,19
Astar,10,0.0007679462432861328,95.6,70.8,19
PRM,10,0.025259017944335938,94.6,70.8,22
Astar,10,0.0004341602325439453,96.0,71.0,19
BFS_checker,10,0.00150299072265625,94.0,71.0,19
PRM,10,0.03324699401855469,94.9,71.0,22
Astar,10,0.0008220672607421875,94.9,71.0,19
BFS_checker,10,0.0014767646789550781,94.0,71.0,19
PRM,10,0.029886960983276367,93.2,71.0,22
BFS_checker,10,0.001165628433227539,100.0,70.8,19
Astar,10,0.0006418228149414062,0.0,70.8,19
PRM,10,0.03322124481201172,0.0,70.8,22
Astar,10,0.0005996227264404297,94.4,71.1,19
BFS_checker,10,0.0009090900421142578,94.9,71.1,19
PRM,10,0.017055749893188477,93.7,71.0,22
Astar,10,0.0005049705505371094,100.0,71.1,19
BFS_checker,10,0.0009551048278808594,0.0,71.0,19
PRM,10,0.01726984977722168,0.0,71.1,22
BFS_checker,10,0.0008418560028076172,96.3,71.0,19
Astar,10,0.0004658699035644531,95.8,71.0,19
PRM,10,0.01656508445739746,96.3,71.0,22
BFS_checker,10,0.0012400150299072266,94.1,71.0,19
Astar,10,0.0007212162017822266,94.6,71.0,19
PRM,10,0.02605295181274414,94.1,71.0,22
BFS_checker,10,0.0006849765777587891,94.8,71.1,19
Astar,10,0.0006251335144042969,94.3,71.1,19
PRM,10,0.02068018913269043,94.3,71.1,22
BFS_checker,10,0.0013837814331054688,94.5,70.9,19
Astar,10,0.0006327629089355469,94.4,70.9,19
PRM,10,0.025723934173583984,94.5,70.9,22
BFS_checker,10,0.0013630390167236328,93.6,71.1,19
Astar,10,0.00043392181396484375,93.1,71.1,19
PRM,10,0.02439713478088379,91.9,71.1,22
Astar,10,0.0007941722869873047,94.9,71.1,19
BFS_checker,10,0.0009429454803466797,94.3,71.1,19
PRM,10,0.02802109718322754,93.7,71.1,22
Astar,10,0.0005807876586914062,94.0,71.1,19
BFS_checker,10,0.0011031627655029297,94.5,71.1,19
PRM,10,0.02418684959411621,94.4,71.1,22
BFS_checker,10,0.0010938644409179688,83.3,71.1,19
Astar,10,0.0007328987121582031,0.0,71.1,19
PRM,10,0.029490947723388672,100.0,71.1,22
BFS_checker,10,0.0011219978332519531,25.0,71.1,19
Astar,10,0.0005433559417724609,25.0,71.1,19
PRM,10,0.01303410530090332,0.0,71.1,22
Astar,10,0.0007350444793701172,93.8,71.3,19
BFS_checker,10,0.0017766952514648438,93.9,71.3,19
PRM,10,0.035971879959106445,93.8,71.3,22
Astar,10,0.0008311271667480469,95.4,71.2,19
BFS_checker,10,0.0009047985076904297,94.9,71.2,19
PRM,10,0.033579111099243164,94.9,71.2,22
Astar,10,0.00047516822814941406,94.0,71.2,19
BFS_checker,10,0.0009331703186035156,95.0,71.2,19
PRM,10,0.01172184944152832,95.5,71.1,22
BFS_checker,10,0.0007307529449462891,94.6,70.9,19
Astar,10,0.0006668567657470703,94.1,70.9,19
PRM,10,0.0236971378326416,93.4,70.9,22
BFS_checker,10,0.0012288093566894531,97.8,71.1,19
Astar,10,0.0006551742553710938,98.4,71.1,19
PRM,10,0.020878076553344727,96.9,71.1,22
BFS_checker,10,0.0013589859008789062,96.6,71.1,19
Astar,10,0.0007760524749755859,96.6,71.1,19
PRM,10,0.034995079040527344,94.8,71.1,22
Astar,10,0.0005218982696533203,94.8,71.1,19
BFS_checker,10,0.0010139942169189453,94.8,71.1,19
PRM,10,0.021176815032958984,94.4,71.1,22
BFS_checker,10,0.0008537769317626953,94.6,71.1,19
Astar,10,0.00061798095703125,95.5,71.1,19
PRM,10,0.021329164505004883,95.5,71.1,22
Astar,10,0.0007901191711425781,96.0,71.0,19
BFS_checker,10,0.0012199878692626953,95.5,71.0,19
PRM,10,0.026576995849609375,94.6,71.0,22
BFS_checker,10,0.0014500617980957031,94.7,71.2,19
Astar,10,0.000820159912109375,95.1,71.2,19
PRM,10,0.032269954681396484,95.1,71.2,22
BFS_checker,10,0.001291036605834961,80.0,71.2,19
Astar,10,0.0007221698760986328,0.0,71.2,19
PRM,10,0.028248071670532227,100.0,71.2,23
PRM,10,0.011455059051513672,100.0,70.9,22
Astar,10,0.0005011558532714844,0.0,70.9,19
BFS_checker,10,0.0007879734039306641,0.0,70.9,19
BFS_checker,10,0.0010492801666259766,95.2,70.9,19
Astar,10,0.0008099079132080078,95.2,70.9,19
PRM,10,0.02839493751525879,94.3,70.9,22
BFS_checker,10,0.0009548664093017578,93.3,71.2,19
Astar,10,0.0007679462432861328,93.3,71.2,19
PRM,10,0.027532100677490234,92.4,71.2,22
BFS_checker,10,0.0010979175567626953,94.3,71.2,19
Astar,10,0.0007123947143554688,93.3,71.2,19
PRM,10,0.030070066452026367,94.2,71.2,22
BFS_checker,10,0.0009698867797851562,50.0,71.1,19
Astar,10,0.0004611015319824219,0.0,71.1,19
PRM,10,0.013297796249389648,0.0,71.1,22
Astar,10,0.0008730888366699219,63.6,71.2,19
BFS_checker,10,0.0015540122985839844,60.0,71.2,19
PRM,10,0.032217979431152344,0.0,71.2,22
BFS_checker,10,0.0010650157928466797,90.5,71.0,19
Astar,10,0.0004658699035644531,90.5,71.0,19
PRM,10,0.030570030212402344,89.9,71.0,23
Astar,10,0.0006480216979980469,66.7,72.3,19
BFS_checker,10,0.0007288455963134766,71.4,72.3,19
PRM,10,0.03498983383178711,0.0,72.3,22
BFS_checker,10,0.0011050701141357422,91.8,72.4,19
Astar,10,0.000637054443359375,92.7,72.4,19
PRM,10,0.025748252868652344,91.6,72.4,22
BFS_checker,10,0.004867076873779297,88.8,72.1,19
Astar,10,0.0028221607208251953,88.8,72.0,19
PRM,10,0.03870415687561035,88.3,71.9,22
BFS_checker,10,0.0012526512145996094,93.5,72.1,19
Astar,10,0.0006110668182373047,94.0,72.1,19
PRM,10,0.017780065536499023,93.6,72.1,22
BFS_checker,10,0.001249074935913086,100.0,70.7,19
Astar,10,0.0007829666137695312,100.0,70.7,19
PRM,10,0.0292661190032959,0.0,70.7,22
Astar,10,0.0006308555603027344,0.0,70.8,19
BFS_checker,10,0.0009710788726806641,0.0,70.8,19
PRM,10,0.019097089767456055,0.0,70.8,22
BFS_checker,10,0.0008091926574707031,94.6,70.8,19
Astar,10,0.0007188320159912109,95.1,70.8,19
PRM,10,0.0264739990234375,95.0,70.8,22
Astar,50,0.014566183090209961,0.0,71.0,99
BFS_checker,50,0.026440858840942383,0.0,71.0,99
PRM,50,0.1879727840423584,81.6,70.5,120
Astar,50,0.008745908737182617,96.1,71.0,99
BFS_checker,50,0.03139925003051758,95.3,71.0,99
PRM,50,0.17208123207092285,84.1,70.5,
Astar,50,0.022838115692138672,60.0,71.2,99
BFS_checker,50,0.029453039169311523,60.0,71.2,99
PRM,50,0.22662091255187988,0.0,71.2,118
Astar,50,0.018871068954467773,95.7,70.3,99
BFS_checker,50,0.029912948608398438,94.8,70.3,99
PRM,50,0.23201894760131836,79.6,69.8,118
Astar,50,0.00896000862121582,92.1,70.3,99
BFS_checker,50,0.027379989624023438,91.8,70.3,99
PRM,50,0.2109670639038086,77.0,69.8,119
Astar,50,0.007555246353149414,96.2,70.4,113
BFS_checker,50,0.01534414291381836,96.3,70.4,113
PRM,50,0.12638616561889648,88.2,69.8,146
Astar,50,0.013502120971679688,0.0,70.5,99
BFS_checker,50,0.024541854858398438,80.0,70.5,99
PRM,50,0.18692517280578613,100.0,69.8,120
Astar,50,0.008328914642333984,94.5,70.5,99
BFS_checker,50,0.023437023162841797,94.6,70.5,99
PRM,50,0.17316985130310059,84.9,69.8,120
Astar,50,0.02245807647705078,0.0,70.3,99
BFS_checker,50,0.026865243911743164,50.0,70.3,99
PRM,50,0.2613980770111084,77.0,69.7,118
Astar,50,0.005133867263793945,96.1,70.3,117
BFS_checker,50,0.015904664993286133,94.7,70.3,117
PRM,50,0.13003301620483398,87.7,69.7,
Astar,50,0.00874018669128418,94.4,70.4,99
BFS_checker,50,0.017138242721557617,94.1,70.4,99
PRM,50,0.16011810302734375,84.0,69.8,
Astar,50,0.010086774826049805,0.0,70.6,99
BFS_checker,50,0.025012969970703125,100.0,70.6,99
PRM,50,0.18335294723510742,0.0,70.6,118
Astar,50,0.008869171142578125,94.4,70.5,105
BFS_checker,50,0.02603888511657715,92.5,70.5,105
PRM,50,0.1697690486907959,82.0,69.9,
BFS_checker,50,0.025461912155151367,94.6,70.3,99
Astar,50,0.012940168380737305,95.1,70.3,99
PRM,50,0.18265414237976074,83.5,69.8,120
Astar,50,0.007899999618530273,0.0,70.4,99
BFS_checker,50,0.02602386474609375,100.0,70.4,99
PRM,50,0.18495583534240723,100.0,69.9,119
Astar,50,0.01632380485534668,87.5,70.5,99
BFS_checker,50,0.031313180923461914,100.0,70.5,99
PRM,50,0.24389100074768066,80.6,69.9,119
Astar,50,0.024077177047729492,95.4,70.5,99
BFS_checker,50,0.036257028579711914,95.5,70.4,99
PRM,50,0.2543830871582031,78.1,69.8,119
Astar,50,0.013394355773925781,94.5,70.5,99
BFS_checker,50,0.03109121322631836,94.1,70.4,99
PRM,50,0.2532198429107666,77.7,69.8,119
Astar,50,0.011149168014526367,0.0,70.5,99
BFS_checker,50,0.01866292953491211,100.0,70.5,99
PRM,50,0.1481311321258545,84.3,70.0,126
Astar,50,0.009743690490722656,96.1,70.5,99
BFS_checker,50,0.03136491775512695,96.3,70.5,99
PRM,50,0.1977851390838623,84.0,70.0,119
Astar,50,0.014821052551269531,95.1,70.5,99
BFS_checker,50,0.02631402015686035,94.2,70.5,99
PRM,50,0.2467489242553711,76.8,70.0,119
Astar,50,0.021709680557250977,94.0,70.4,99
BFS_checker,50,0.030324935913085938,93.5,70.4,99
PRM,50,0.2434401512145996,79.8,69.8,118
Astar,50,0.017935991287231445,96.9,70.6,99
BFS_checker,50,0.03168988227844238,96.9,70.6,99
PRM,50,0.23529601097106934,78.4,70.1,118
Astar,50,0.02112889289855957,93.7,70.7,99
BFS_checker,50,0.023311853408813477,93.3,70.7,99
PRM,50,0.2723710536956787,78.4,70.1,118
Astar,50,0.00807809829711914,95.6,70.7,101
BFS_checker,50,0.013949871063232422,95.6,70.7,101
PRM,50,0.12139701843261719,86.7,69.6,128
Astar,50,0.006464958190917969,94.9,70.6,99
BFS_checker,50,0.013967275619506836,94.4,70.6,99
PRM,50,0.11875271797180176,88.3,70.1,120
Astar,50,0.020708084106445312,75.0,70.6,99
BFS_checker,50,0.025170087814331055,100.0,70.6,99
PRM,50,0.215545654296875,77.7,70.1,118
